Correlation_LOW,EUR_Swap_0.25Y,EUR_Swap_0.5Y,EUR_Swap_1.0Y,EUR_Swap_2.0Y,EUR_Swap_3.0Y,EUR_Swap_5.0Y,EUR_Swap_10.0Y,EUR_Swap_15.0Y,EUR_Swap_20.0Y,EUR_Swap_30.0Y
EUR_Swap_0.25Y,1.0,0.9408910670970163,0.8278623705424564,0.6211684919403742,0.5391928000739447,0.4241440790246528,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004
EUR_Swap_0.5Y,0.9408910670970163,1.0,0.9408910670970163,0.8278623705424564,0.7214159528501156,0.5725346207526398,0.4241440790246528,0.31421366193572925,0.30000000000000004,0.30000000000000004
EUR_Swap_1.0Y,0.8278623705424564,0.9408910670970163,1.0,0.9408910670970163,0.8835290671684974,0.773840873434315,0.5725346207526398,0.49278511486129256,0.4241440790246528,0.31421366193572925
EUR_Swap_2.0Y,0.6211684919403742,0.8278623705424564,0.9408910670970163,1.0,0.9702238792061253,0.9119949636661999,0.773840873434315,0.6456693161120368,0.5725346207526398,0.49278511486129256
EUR_Swap_3.0Y,0.5391928000739447,0.7214159528501156,0.8835290671684974,0.9702238792061253,1.0,0.9603973466135105,0.8647876398118965,0.773840873434315,0.6873296331927674,0.5725346207526399
EUR_Swap_5.0Y,0.4241440790246528,0.5725346207526398,0.773840873434315,0.9119949636661999,0.9603973466135105,1.0,0.9408910670970163,0.8835290671684974,0.8278623705424564,0.7214159528501156
EUR_Swap_10.0Y,0.30000000000000004,0.4241440790246528,0.5725346207526398,0.773840873434315,0.8647876398118965,0.9408910670970163,1.0,0.9702238792061253,0.9408910670970163,0.8835290671684974
EUR_Swap_15.0Y,0.30000000000000004,0.31421366193572925,0.49278511486129256,0.6456693161120368,0.773840873434315,0.8835290671684974,0.9702238792061253,1.0,0.9800996674983362,0.9408910670970163
EUR_Swap_20.0Y,0.30000000000000004,0.30000000000000004,0.4241440790246528,0.5725346207526398,0.6873296331927674,0.8278623705424564,0.9408910670970163,0.9800996674983362,1.0,0.9702238792061253
EUR_Swap_30.0Y,0.30000000000000004,0.30000000000000004,0.31421366193572925,0.49278511486129256,0.5725346207526399,0.7214159528501156,0.8835290671684974,0.9408910670970163,0.9702238792061253,1.0
